symbol,base,quote,name
BIST:AEFES,AEFES,TRY
BIST:AFYON
BIST:AKBNK
BIST:AKENR
BIST:AKSA
BIST:AKSEN
BIST:ALARK
BIST:ALGYO
BIST:ANELE
BIST:ARCLK
BIST:ASELS
BIST:AYGAZ
BIST:BAGFS
BIST:BANVT
BIST:BERA
BIST:BIMAS
BIST:BIZIM
BIST:BRISA
BIST:BRSAN
BIST:CEMTS
BIST:CRFSA
BIST:DEVA
BIST:DGKLB
BIST:DOAS
BIST:DOHOL
BIST:ECILC
BIST:EGEEN
BIST:EKGYO
BIST:ENKAI
BIST:ERBOS
BIST:EREGL
BIST:FROTO
BIST:GARAN
BIST:GLYHO
BIST:GSDHO
BIST:GUBRF
BIST:HLGYO
BIST:ICBCT
BIST:IEYHO
BIST:IHLAS
BIST:IHLGM
BIST:IPEKE
BIST:ISCTR
BIST:ISGYO
BIST:KARSN
BIST:KARTN
BIST:KCHOL
BIST:KLGYO
BIST:KORDS
BIST:KOZAA
BIST:KOZAL
BIST:KRDMD
BIST:MGROS
BIST:NTHOL
BIST:ODAS
BIST:OTKAR
BIST:PETKM
BIST:PGSUS
BIST:PRKME
BIST:SAHOL
BIST:SASA
BIST:SISE
BIST:SKBNK
BIST:SNGYO
BIST:TATGD
BIST:TAVHL
BIST:TCELL
BIST:THYAO
BIST:TKFEN
BIST:TKNSA
BIST:TLMAN
BIST:TMSN
BIST:TOASO
BIST:TRCAS
BIST:TTKOM
BIST:TTRAK
BIST:TUPRS
BIST:VESTL
BIST:VKGYO
BIST:YKBNK
BIST:ZOREN
